Date,Open,High,Low,Close,Adj Close,Volume
12-05-11,566.9500122,566.9500122,554.1749878,555.875,449.150116,2540458
13-05-11,556,571.1500244,556,563.5499878,455.3517456,2365488
16-05-11,560.5,573.7000122,560,565.5499878,456.967804,2227368
17-05-11,561.0250244,574.5999756,561.0250244,570.8499756,461.250061,1391414
18-05-11,571.125,580.75,571.125,577.5250244,466.6436768,2225180
19-05-11,582.5,585,578,582.4249878,470.6029358,2050922
20-05-11,586.875,591.7000122,581.625,587.5,474.7034607,2050600
23-05-11,582,585.25,575,583.2750244,471.2897339,2017284
24-05-11,581.3250122,586.4000244,569.5750122,574.9500122,464.5628662,1681994
25-05-11,574.5499878,574.9500122,560,564.2999878,455.9576721,1867470
26-05-11,569.5,571.5,560,567.875,458.846344,2060218
27-05-11,574.2750244,574.9500122,568.1500244,572.2750244,462.4015198,1286704
30-05-11,575.5,579.9749756,571.1500244,575.9749756,465.3909607,1140868
31-05-11,577.5,588.8499756,575.0499878,578.5750122,467.4919739,2644154
01-06-11,578.5,588.5,578.5,587.7000122,474.8650513,982386
02-06-11,579.4500122,586,578.3250122,583.875,471.774353,1697654
03-06-11,583,587.5,575,576.0499878,465.4516907,1367808
06-06-11,570,584,570,582.1749878,470.4009399,1357074
07-06-11,581.5,591.5750122,579,589.6500244,476.4405823,1837442
08-06-11,585.9500122,592.5,581.75,590.7000122,480.5488892,2127670
09-06-11,587.5,596.9000244,587.5,593.1749878,482.5626221,2693966
10-06-11,593.2750244,598.75,592.5499878,594.5999756,483.7216797,3774550
13-06-11,594.5999756,595.25,586.2750244,587.6500244,478.0675964,3229400
14-06-11,589,597.4500122,589,595.5250244,484.4740906,2125782
15-06-11,593,602.5,590.625,592.125,481.7082825,2812382
16-06-11,591.5,592.9500122,574.125,575.5750122,468.2445068,2337520
17-06-11,577.5,578.5,552,554.5999756,451.1806946,3788146
20-06-11,557.5,559.5,529,534.6500244,434.9508972,5310408
21-06-11,537.5,555.3499756,531.5999756,553.375,450.184082,3425946
22-06-11,558,558.4500122,540,541.75,440.7269897,3570834
23-06-11,540.9000244,550.5,535.0499878,548.5,446.2181702,2428236
24-06-11,550,570.375,549.5,568.875,462.7939148,4151588
