2025-12-16 16:53:27,165 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:53:42,367 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:53:57,581 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:54:12,832 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:54:27,975 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:54:43,241 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:54:58,509 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:55:13,770 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:13:33,338 | INFO | __main__ | Starting full pipeline execution
2025-12-16 17:13:33,338 | INFO | modules.ingestion.yahoo_fetcher | Fetching Yahoo Finance data for AAPL for period 5y
2025-12-16 17:13:34,594 | INFO | modules.preprocessing.data_cleaner | Starting data cleaning process
2025-12-16 17:13:34,612 | INFO | modules.preprocessing.data_cleaner | Data cleaning completed
2025-12-16 17:13:34,615 | INFO | modules.preprocessing.missing_value_handler | Handling missing values
2025-12-16 17:13:34,622 | INFO | modules.preprocessing.missing_value_handler | Missing value handling completed
2025-12-16 17:13:34,622 | INFO | modules.feature_engineering.technical_indicators | Adding technical indicators
2025-12-16 17:13:34,632 | INFO | modules.feature_engineering.technical_indicators | Technical indicators added successfully
2025-12-16 17:13:34,632 | INFO | modules.feature_engineering.trend_features | Adding trend features
2025-12-16 17:13:34,640 | INFO | modules.feature_engineering.trend_features | Trend features added successfully
2025-12-16 17:13:34,642 | INFO | modules.feature_engineering.volatility_features | Adding volatility features
2025-12-16 17:13:34,644 | INFO | modules.feature_engineering.volatility_features | Volatility features added successfully
2025-12-16 17:13:34,644 | INFO | modules.feature_engineering.lag_features | Adding lag features for close
2025-12-16 17:13:34,647 | INFO | modules.feature_engineering.lag_features | Lag features added successfully
2025-12-16 17:13:34,716 | INFO | modules.utils.helpers | DataFrame saved to data/processed/feature_engineered.csv
2025-12-16 17:13:34,716 | INFO | modules.preprocessing.normalizer | Starting data normalization
2025-12-16 17:13:34,728 | INFO | modules.preprocessing.normalizer | Scaler saved at models_saved/scaler.pkl
2025-12-16 17:13:34,728 | INFO | modules.preprocessing.normalizer | Data normalization completed
2025-12-16 17:13:34,729 | INFO | modules.training.trainer | Starting regression model training
2025-12-16 17:13:34,729 | INFO | modules.models.regression.random_forest | Training Random Forest Regressor
2025-12-16 17:13:35,650 | INFO | modules.training.trainer | Regression model training completed
2025-12-16 17:13:35,785 | INFO | modules.models.regression.random_forest | Random Forest model saved at models_saved/random_forest.pkl
2025-12-16 17:13:35,785 | INFO | modules.evaluation.regression_metrics | Evaluating regression model performance
2025-12-16 17:13:35,785 | INFO | modules.evaluation.regression_metrics | Regression Metrics: {'MSE': 0.00439730474603174, 'RMSE': np.float64(0.06631217645373842), 'MAE': 0.03890573662113906, 'R2_Score': 0.7991303977270776}
2025-12-16 17:13:35,785 | INFO | __main__ | Final Evaluation Metrics: {'MSE': 0.00439730474603174, 'RMSE': np.float64(0.06631217645373842), 'MAE': 0.03890573662113906, 'R2_Score': 0.7991303977270776}
2025-12-16 17:13:35,785 | INFO | __main__ | Pipeline execution completed successfully
2025-12-16 17:13:50,051 | INFO | __main__ | Starting model training
